Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"March 21, 2019 - December 31, 2021"
Statement,Data,WhenGenerated,"2026-03-21, 20:57:20 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,121459.230410043
Summary,Data,Change,185076.18997499303
Summary,Data,Ending Cash,306535.42038503604
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount,Sub Type,Transaction Fees,Multiplier
Transaction History,Data,2021-12-27,U***638,XOM 21JAN22 60.0 C,Sell,XOM   220121C00060000,-1.0,2.5,USD,250.0,-0.604625,249.395375,-,-,100.0
Transaction History,Data,2021-12-27,U***638,XOM 14APR22 60.0 C,Sell,XOM   220414C00060000,-1.0,4.15,USD,415.0,-0.6054665,414.3945335,-,-,100.0
Transaction History,Data,2021-12-27,U***638,XOM 18MAR22 70.0 C,Sell,XOM   220318C00070000,-1.0,0.48,USD,48.0,-1.0235948,46.9764052,-,-,100.0
Transaction History,Data,2021-12-27,U***638,XOM 18FEB22 62.5 C,Sell,XOM   220218C00062500,-1.0,1.88,USD,188.0,-0.7243088,187.2756912,-,-,100.0
Transaction History,Data,2021-12-27,U***638,XOM 14APR22 70.0 C,Sell,XOM   220414C00070000,-1.0,0.78,USD,78.0,-0.6037478,77.3962522,-,-,100.0
Transaction History,Data,2021-12-27,U***638,XOM 18FEB22 65.0 C,Sell,XOM   220218C00065000,-1.0,0.98,USD,98.0,-0.6038498,97.3961502,-,-,100.0
Transaction History,Data,2021-12-27,U***2030,XOM 14APR22 67.5 C,Sell,XOM   220414C00067500,-1.0,1.25,USD,125.0,-0.7239875,124.2760125,-,-,100.0
Transaction History,Data,2021-12-27,U***2030,XOM 14APR22 70.0 C,Sell,XOM   220414C00070000,-1.0,0.79,USD,79.0,-0.7237529,78.2762471,-,-,100.0
Transaction History,Data,2021-12-27,U***2030,XOM 18MAR22 75.0 C,Sell,XOM   220318C00075000,-1.0,0.16,USD,16.0,-0.8234316,15.1765684,-,-,100.0
Transaction History,Data,2021-12-27,U***638,XOM 18MAR22 60.0 C,Sell,XOM   220318C00060000,-1.0,3.7,USD,370.0,-0.725237,369.274763,-,-,100.0
Transaction History,Data,2021-12-27,U***2030,XOM 14APR22 62.5 C,Sell,XOM   220414C00062500,-1.0,2.9,USD,290.0,-0.604829,289.395171,-,-,100.0
Transaction History,Data,2021-12-27,U***2030,XOM 21JAN22 65.0 C,Sell,XOM   220121C00065000,-1.0,0.36,USD,36.0,-0.6035336,35.3964664,-,-,100.0
Transaction History,Data,2021-12-27,U***638,XOM 18FEB22 60.0 C,Sell,XOM   220218C00060000,-1.0,3.23,USD,323.0,-0.7249973,322.2750027,-,-,100.0
Transaction History,Data,2021-12-27,U***132,XOM 18FEB22 62.5 C,Sell,XOM   220218C00062500,-1.0,1.89,USD,189.0,-0.6043139,188.3956861,-,-,100.0
Transaction History,Data,2021-12-27,U***132,DBX 21JAN22 30.0 C,Buy,DBX   220121C00030000,1.0,0.05,USD,-5.0,-1.01135,-6.01135,-,-,100.0
Transaction History,Data,2021-12-27,U***132,XOM 18MAR22 67.5 C,Sell,XOM   220318C00067500,-1.0,0.85,USD,85.0,-0.6037835,84.3962165,-,-,100.0
Transaction History,Data,2021-12-27,U***638,XOM 18FEB22 67.5 C,Sell,XOM   220218C00067500,-1.0,0.48,USD,48.0,-0.6035948,47.3964052,-,-,100.0
Transaction History,Data,2021-12-27,U***132,DROPBOX INC-CLASS A,Sell,DBX,-100.0,25.05,USD,2505.0,-1.0246755,2503.9753245,-,-,1.0
Transaction History,Data,2021-12-27,U***638,ESTC 20MAY22 125.0 C,Sell,ESTC  220520C00125000,-1.0,16.76,USD,1676.0,-0.2318976,1675.7681024,-,-,100.0
Transaction History,Data,2021-12-27,U***638,WMT 17JUN22 145.0 C,Sell,WMT   220617C00145000,-1.0,5.61,USD,561.0,-0.7262111,560.2737889,-,-,100.0
Transaction History,Data,2021-12-27,U***638,DIEBOLD NIXDORF INC,Sell,DBD,-46.0,8.86,USD,407.56,-1.007552556,406.552447444,-,-,1.0
Transaction History,Data,2021-12-27,U***638,DIEBOLD NIXDORF INC,Sell,DBD,-10.0,8.86,USD,88.6,-0.00164186,88.59835813999999,-,-,1.0
Transaction History,Data,2021-12-27,U***638,DIEBOLD NIXDORF INC,Sell,DBD,-44.0,8.86,USD,389.84,-0.007224184,389.832775816,-,-,1.0
Transaction History,Data,2021-12-27,U***638,AUY 15JUL22 4.5 C,Sell,AUY   220715C00004500,-1.0,0.35,USD,35.0,-1.0235285,33.9764715,-,-,100.0
Transaction History,Data,2021-12-23,U***638,Sell -100 ISHARES SILVER TRUST (Assignment),Assignment,SLV,-100.0,21.0,USD,2100.0,-0.02261,2099.97739,-,-,1.0
Transaction History,Data,2021-12-22,U***638,SLV 18FEB22 22.0 C,Sell,SLV   220218C00022000,-1.0,0.49,USD,49.0,-1.0235999,47.9764001,-,-,100.0
Transaction History,Data,2021-12-22,U***638,SLV 31MAR22 22.5 C,Sell,SLV   220331C00022500,-1.0,0.62,USD,62.0,-1.0236662,60.9763338,-,-,100.0
Transaction History,Data,2021-12-22,U***638,SLV 30SEP22 26.0 C,Sell,SLV   220930C00026000,-1.0,0.91,USD,91.0,-0.6038141,90.3961859,-,-,100.0
Transaction History,Data,2021-12-22,U***2030,FORD MOTOR CO,Sell,F,-100.0,19.96,USD,1996.0,-1.0220796,1994.9779204,-,-,1.0
Transaction History,Data,2021-12-22,U***638,RXT 20MAY22 17.5 C,Sell,RXT   220520C00017500,-1.0,0.81,USD,81.0,-0.1737631,80.8262369,-,-,100.0
Transaction History,Data,2021-12-22,U***638,RXT 21JAN22 17.5 C,Sell,RXT   220121C00017500,-1.0,0.09,USD,9.0,-0.1733959,8.8266041,-,-,100.0
Transaction History,Data,2021-12-21,U***638,ORCL 23DEC21 85.0 P,Buy,ORCL  211223P00085000,1.0,0.09,USD,-9.0,-0.67135,-9.67135,-,-,100.0
Transaction History,Data,2021-12-21,U***638,ORCL 18MAR22 85.0 P,Sell,ORCL  220318P00085000,-1.0,3.62,USD,362.0,-0.6751962,361.3248038,-,-,100.0
Transaction History,Data,2021-12-21,U***638,RXT 18FEB22 15.0 C,Sell,RXT   220218C00015000,-1.0,0.7,USD,70.0,-0.273707,69.726293,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 31MAR22 23.0 C,Sell,SLV   220331C00023000,-1.0,0.47,USD,47.0,-1.4535897,45.5464103,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 17JUN22 24.0 C,Sell,SLV   220617C00024000,-1.0,0.71,USD,71.0,-0.8237121,70.1762879,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 17JUN22 26.0 C,Sell,SLV   220617C00026000,-1.0,0.47,USD,47.0,-1.4535897,45.5464103,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 17JUN22 23.0 C,Sell,SLV   220617C00023000,-1.0,0.91,USD,91.0,-1.3938141,89.6061859,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 15SEP23 26.0 C,Sell,SLV   230915C00026000,-1.0,2.08,USD,208.0,-0.6044108,207.3955892,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 15SEP23 25.0 C,Sell,SLV   230915C00025000,-1.0,2.26,USD,226.0,-0.6045026,225.3954974,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 30SEP22 25.0 C,Sell,SLV   220930C00025000,-1.0,1.03,USD,103.0,-0.6038753,102.3961247,-,-,100.0
Transaction History,Data,2021-12-21,U***2030,ORCL 21JAN22 55.0 P,Buy,ORCL  220121P00055000,1.0,0.02,USD,-2.0,-1.02135,-3.02135,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 31DEC21 21.0 C,Sell,SLV   211231C00021000,-1.0,0.25,USD,25.0,-1.0134775,23.9865225,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 23DEC21 21.0 C,Sell,SLV   211223C00021000,-1.0,0.09,USD,9.0,-1.0133959,7.9866041,-,-,100.0
Transaction History,Data,2021-12-21,U***638,AMZN 20MAY22 3300.0 P,Sell,AMZN  220520P03300000,-1.0,239.0,USD,23900.0,-1.14524,23898.85476,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 21JAN22 22.0 C,Sell,SLV   220121C00022000,-1.0,0.21,USD,21.0,-1.0134571,19.9865429,-,-,100.0
Transaction History,Data,2021-12-21,U***2030,LORDSTOWN MOTORS CORP-CL A,Buy,RIDE,57.0,3.88,USD,-221.16,-1.0,-222.16,-,-,1.0
Transaction History,Data,2021-12-21,U***2030,LORDSTOWN MOTORS CORP-CL A,Buy,RIDE,43.0,3.88,USD,-166.84,-,-166.84,-,-,1.0
Transaction History,Data,2021-12-21,U***2030,ORCL 21JAN22 57.5 P,Buy,ORCL  220121P00057500,1.0,0.02,USD,-2.0,-1.01135,-3.01135,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 31MAR22 25.0 C,Sell,SLV   220331C00025000,-1.0,0.25,USD,25.0,-1.0134775,23.9865225,-,-,100.0
Transaction History,Data,2021-12-21,U***638,ORCL 23DEC21 90.0 P,Buy,ORCL  211223P00090000,1.0,0.75,USD,-75.0,-0.67135,-75.67135,-,-,100.0
Transaction History,Data,2021-12-21,U***638,ORCL 18MAR22 90.0 P,Sell,ORCL  220318P00090000,-1.0,5.33,USD,533.0,-0.6760683,532.3239317,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 30SEP22 25.5 C,Sell,SLV   220930C00025500,-1.0,0.97,USD,97.0,-1.0138447,95.98615530000001,-,-,100.0
Transaction History,Data,2021-12-21,U***638,SLV 18FEB22 21.5 C,Sell,SLV   220218C00021500,-1.0,0.61,USD,61.0,-1.0136611,59.9863389,-,-,100.0
Transaction History,Data,2021-12-21,U***638,RXT 19AUG22 17.5 C,Sell,RXT   220819C00017500,-1.0,1.23,USD,123.0,-0.1739773,122.8260227,-,-,100.0
Transaction History,Data,2021-12-20,U***638,PHG 18FEB22 35.0 P,Sell,PHG   220218P00035000,-1.0,2.15,USD,215.0,-0.2244465,214.7755535,-,-,100.0
Transaction History,Data,2021-12-20,U***638,PHG 14APR22 50.0 C,Buy,PHG   220414C00050000,1.0,0.17,USD,-17.0,-0.22135,-17.22135,-,-,100.0
Transaction History,Data,2021-12-20,U***638,FORD MOTOR CO,Buy,F,100.0,19.32,USD,-1932.0,-1.0,-1933.0,-,-,1.0
Transaction History,Data,2021-12-20,U***638,Disbursement Initiated by Kenneth I Macpherson,Withdrawal,-,-,-,-,-3000.0,-,-3000.0,-,-,1.0
Transaction History,Data,2021-12-17,U***638,WMT 31DEC21 145.0 P,Buy,WMT   211231P00145000,1.0,5.33,USD,-533.0,-0.67135,-533.67135,-,-,100.0
Transaction History,Data,2021-12-17,U***638,WMT 18FEB22 145.0 P,Sell,WMT   220218P00145000,-1.0,7.76,USD,776.0,-0.6773076,775.3226924,-,-,100.0
Transaction History,Data,2021-12-17,U***638,ORCL 17DEC21 82.5 C,Buy,ORCL  211217C00082500,1.0,14.15,USD,-1415.0,-0.72135,-1415.72135,-,-,100.0
Transaction History,Data,2021-12-17,U***638,ORCL 17JUN22 87.5 P,Sell,ORCL  220617P00087500,-1.0,4.52,USD,452.0,-1.0256552,450.9743448,-,-,100.0
Transaction History,Data,2021-12-17,U***638,F 16SEP22 20.0 C,Sell,F     220916C00020000,-1.0,3.33,USD,333.0,-0.6750483,332.3249517,-,-,100.0
Transaction History,Data,2021-12-17,U***638,F 17DEC21 19.0 C,Buy,F     211217C00019000,1.0,1.06,USD,-106.0,-0.67135,-106.67135,-,-,100.0
Transaction History,Data,2021-12-17,U***638,F 17DEC21 16.0 C,Buy,F     211217C00016000,1.0,4.05,USD,-405.0,-0.60135,-405.60135,-,-,100.0
Transaction History,Data,2021-12-17,U***2030,ORCL 17JUN22 90.0 P,Sell,ORCL  220617P00090000,-1.0,5.48,USD,548.0,-0.7261448,547.2738552,-,-,100.0
Transaction History,Data,2021-12-17,U***2030,XOM 14APR22 60.0 P,Sell,XOM   220414P00060000,-1.0,4.25,USD,425.0,-0.7255175,424.2744825,-,-,100.0
Transaction History,Data,2021-12-17,U***638,PHG 18FEB22 40.0 C,Sell,PHG   220218C00040000,-1.0,0.7,USD,70.0,-0.223707,69.776293,-,-,100.0
Transaction History,Data,2021-12-17,U***2030,F 17JUN22 18.0 C,Sell,F     220617C00018000,-1.0,3.7,USD,370.0,-0.675237,369.324763,-,-,100.0
Transaction History,Data,2021-12-17,U***2030,F 17DEC21 18.0 C,Buy,F     211217C00018000,1.0,1.9,USD,-190.0,-0.67135,-190.67135,-,-,100.0
Transaction History,Data,2021-12-17,U***2030,F 17DEC21 17.0 C,Buy,F     211217C00017000,1.0,2.9,USD,-290.0,-1.01135,-291.01135,-,-,100.0
Transaction History,Data,2021-12-17,U***2030,F 17DEC21 17.0 C,Buy,F     211217C00017000,1.0,2.89,USD,-289.0,-0.67135,-289.67135,-,-,100.0
Transaction History,Data,2021-12-17,U***2030,F 16SEP22 17.0 C,Sell,F     220916C00017000,-1.0,4.7,USD,470.0,-0.675747,469.324253,-,-,100.0
Transaction History,Data,2021-12-17,U***2030,F 16SEP22 19.0 C,Sell,F     220916C00019000,-1.0,3.65,USD,365.0,-0.6052115,364.3947885,-,-,100.0
Transaction History,Data,2021-12-17,U***638,Buy 100 WALMART INC (Assignment),Assignment,WMT,100.0,140.0,USD,-14000.0,-,-14000.0,-,-,1.0
Transaction History,Data,2021-12-17,U***132,Sell -100 ORACLE CORP (Assignment),Assignment,ORCL,-100.0,77.5,USD,7750.0,-0.051425,7749.948575,-,-,1.0
Transaction History,Data,2021-12-17,U***2030,Buy 100 WORKHORSE GROUP INC (Assignment),Assignment,WKHS,100.0,7.0,USD,-700.0,-,-700.0,-,-,1.0
Transaction History,Data,2021-12-17,U***2030,Buy 100 FORD MOTOR CO (Exercise),Exercise,F,100.0,17.0,USD,-1700.0,-,-1700.0,-,-,1.0
Transaction History,Data,2021-12-16,U***2030,Sell -100 ORACLE CORP (Assignment),Assignment,ORCL,-100.0,80.0,USD,8000.0,-0.0527,7999.9473,-,-,1.0
Transaction History,Data,2021-12-10,U***638,XOM(US30231G1022) Cash Dividend USD 0.88 per Share (Ordinary Dividend),Dividend,XOM,-,-,-,1232.0,-,1232.0,-,-,1.0
Transaction History,Data,2021-12-10,U***2030,XOM(US30231G1022) Cash Dividend USD 0.88 per Share (Ordinary Dividend),Dividend,XOM,-,-,-,2552.0,-,2552.0,-,-,1.0
Transaction History,Data,2021-12-10,U***132,XOM(US30231G1022) Cash Dividend USD 0.88 per Share (Ordinary Dividend),Dividend,XOM,-,-,-,352.0,-,352.0,-,-,1.0
Transaction History,Data,2021-12-02,U***638,K*****70:OPRA NP L1 for Nov 2021,Other Fee,-,-,-,-,1.5,-,1.5,-,-,1.0
Transaction History,Data,2021-12-02,U***638,K*****70:US Consolidated Snapshot for Nov 2021,Other Fee,-,-,-,-,-0.19,-,-0.19,-,-,1.0
Transaction History,Data,2021-12-02,U***638,K*****70:US Consolidated Snapshot for Nov 2021,Other Fee,-,-,-,-,0.19,-,0.19,-,-,1.0
Transaction History,Data,2021-12-02,U***638,K*****70:OPRA NP L1 for Dec 2021,Other Fee,-,-,-,-,-1.5,-,-1.5,-,-,1.0
Transaction History,Data,2021-12-01,U***638,RXT 21JAN22 22.5 C,Buy,RXT   220121C00022500,1.0,0.09,USD,-9.0,-0.22135,-9.22135,-,-,100.0
Transaction History,Data,2021-12-01,U***638,F(US3453708600) Cash Dividend USD 0.10 per Share (Ordinary Dividend),Dividend,F,-,-,-,50.0,-,50.0,-,-,1.0
Transaction History,Data,2021-12-01,U***2030,F(US3453708600) Cash Dividend USD 0.10 per Share (Ordinary Dividend),Dividend,F,-,-,-,180.0,-,180.0,-,-,1.0
Transaction History,Data,2021-12-01,U***132,F(US3453708600) Cash Dividend USD 0.10 per Share (Ordinary Dividend),Dividend,F,-,-,-,60.0,-,60.0,-,-,1.0
Transaction History,Data,2021-11-29,U***638,SLV 31DEC21 25.0 C,Buy,SLV   211231C00025000,1.0,0.06,USD,-6.0,-1.02135,-7.02135,-,-,100.0
Transaction History,Data,2021-11-19,U***638,WMT 31DEC21 145.0 P,Sell,WMT   211231P00145000,-1.0,4.7,USD,470.0,-0.675747,469.324253,-,-,100.0
Transaction History,Data,2021-11-19,U***638,WMT 19NOV21 145.0 P,Buy,WMT   211119P00145000,1.0,1.72,USD,-172.0,-0.67135,-172.67135,-,-,100.0
Transaction History,Data,2021-11-19,U***638,SLV 19NOV21 23.0 C,Buy,SLV   211119C00023000,1.0,0.08,USD,-8.0,-1.02135,-9.02135,-,-,100.0
Transaction History,Data,2021-11-19,U***2030,ESTC 19NOV21 90.0 C,Buy,ESTC  211119C00090000,1.0,89.4,USD,-8940.0,-0.27135,-8940.27135,-,-,100.0
Transaction History,Data,2021-11-19,U***2030,ESTC 20MAY22 100.0 C,Sell,ESTC  220520C00100000,-1.0,81.68,USD,8168.0,-0.2650068,8167.7349932,-,-,100.0
Transaction History,Data,2021-11-19,U***638,KONINKLIJKE PHILIPS NVR- NY,Buy,PHG,58.0,41.59,USD,-2412.22,-1.0,-2413.22,-,-,1.0
Transaction History,Data,2021-11-19,U***638,SLV 21JAN22 25.0 C,Buy,SLV   220121C00025000,1.0,0.47,USD,-47.0,-1.45135,-48.45135,-,-,100.0
Transaction History,Data,2021-11-19,U***638,F 17DEC21 19.0 C,Sell,F     211217C00019000,-1.0,1.21,USD,121.0,-0.8239671,120.1760329,-,-,100.0
Transaction History,Data,2021-11-19,U***638,F 18MAR22 19.0 C,Sell,F     220318C00019000,-1.0,2.3,USD,230.0,-0.604523,229.395477,-,-,100.0
Transaction History,Data,2021-11-19,U***638,SLV 21JAN22 23.0 C,Buy,SLV   220121C00023000,1.0,1.06,USD,-106.0,-1.02135,-107.02135,-,-,100.0
Transaction History,Data,2021-11-17,U***638,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,15.0,USD,1500.0,-0.01955,1499.98045,-,-,1.0
Transaction History,Data,2021-11-17,U***638,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,13.0,USD,1300.0,-0.01853,1299.98147,-,-,1.0
Transaction History,Data,2021-11-17,U***132,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,13.0,USD,1300.0,-0.01853,1299.98147,-,-,1.0
Transaction History,Data,2021-11-17,U***638,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,12.0,USD,1200.0,-0.01802,1199.98198,-,-,1.0
Transaction History,Data,2021-11-17,U***2030,Sell -300 FORD MOTOR CO (Assignment),Assignment,F,-300.0,12.0,USD,3600.0,-0.05406,3599.94594,-,-,1.0
Transaction History,Data,2021-11-17,U***2030,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,16.0,USD,1600.0,-0.02006,1599.97994,-,-,1.0
Transaction History,Data,2021-11-17,U***2030,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,14.0,USD,1400.0,-0.01904,1399.98096,-,-,1.0
Transaction History,Data,2021-11-17,U***638,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,11.0,USD,1100.0,-0.01751,1099.98249,-,-,1.0
Transaction History,Data,2021-11-17,U***132,Sell -200 FORD MOTOR CO (Assignment),Assignment,F,-200.0,11.0,USD,2200.0,-0.03502,2199.96498,-,-,1.0
Transaction History,Data,2021-11-17,U***638,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,10.0,USD,1000.0,-0.017,999.983,-,-,1.0
Transaction History,Data,2021-11-17,U***2030,Sell -200 FORD MOTOR CO (Assignment),Assignment,F,-200.0,10.0,USD,2000.0,-0.034,1999.966,-,-,1.0
Transaction History,Data,2021-11-17,U***2030,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,14.0,USD,1400.0,-0.01904,1399.98096,-,-,1.0
Transaction History,Data,2021-11-17,U***638,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,15.0,USD,1500.0,-0.01955,1499.98045,-,-,1.0
Transaction History,Data,2021-11-17,U***2030,Sell -100 FORD MOTOR CO (Assignment),Assignment,F,-100.0,15.0,USD,1500.0,-0.01955,1499.98045,-,-,1.0
Transaction History,Data,2021-11-11,U***2030,RIDE 14APR22 7.5 C,Sell,RIDE  220414C00007500,-1.0,1.4,USD,140.0,-1.024064,138.975936,-,-,100.0
Transaction History,Data,2021-11-10,U***638,AUY 21JAN22 6.0 C,Sell,AUY   220121C00006000,-1.0,0.05,USD,5.0,-0.7233755,4.2766245000000005,-,-,100.0
Transaction History,Data,2021-11-09,U***638,AUY 21JAN22 4.0 C,Sell,AUY   220121C00004000,-1.0,0.41,USD,41.0,-1.0235591,39.9764409,-,-,100.0
Transaction History,Data,2021-11-09,U***132,SLV 31DEC21 21.5 C,Buy,SLV   211231C00021500,1.0,1.52,USD,-152.0,-1.02135,-153.02135,-,-,100.0
Transaction History,Data,2021-11-09,U***132,SLV 31MAR22 22.5 C,Sell,SLV   220331C00022500,-1.0,1.66,USD,166.0,-1.0241966,164.9758034,-,-,100.0
Transaction History,Data,2021-11-09,U***638,ISHARES SILVER TRUST,Buy,SLV,1.0,22.49,USD,-22.49,-0.2249,-22.7149,-,-,1.0
Transaction History,Data,2021-11-09,U***638,ISHARES SILVER TRUST,Buy,SLV,99.0,22.49,USD,-2226.51,-0.7751,-2227.2851,-,-,1.0
Transaction History,Data,2021-11-09,U***638,AUY 14APR22 5.5 C,Sell,AUY   220414C00005500,-1.0,0.16,USD,16.0,-1.0234316,14.9765684,-,-,100.0
Transaction History,Data,2021-11-09,U***638,ORCL 18MAR22 82.5 P,Sell,ORCL  220318P00082500,-1.0,2.31,USD,231.0,-1.0245281,229.9754719,-,-,100.0
Transaction History,Data,2021-11-09,U***638,AUY 14APR22 6.0 C,Sell,AUY   220414C00006000,-1.0,0.12,USD,12.0,-1.0234112,10.9765888,-,-,100.0
Transaction History,Data,2021-11-09,U***2030,Sell -100 EXXON MOBIL CORP (Assignment),Assignment,XOM,-100.0,50.0,USD,5000.0,-0.0374,4999.9626,-,-,1.0
Transaction History,Data,2021-11-08,U***638,ORCL 23DEC21 85.0 P,Sell,ORCL  211223P00085000,-1.0,1.01,USD,101.0,-1.0238651,99.9761349,-,-,100.0
Transaction History,Data,2021-11-08,U***638,ORCL 23DEC21 90.0 P,Sell,ORCL  211223P00090000,-1.0,2.03,USD,203.0,-1.0243853,201.9756147,-,-,100.0
Transaction History,Data,2021-11-08,U***638,ORCL 17JUN22 82.5 P,Sell,ORCL  220617P00082500,-1.0,3.71,USD,371.0,-0.7252421,370.2747579,-,-,100.0
Transaction History,Data,2021-11-08,U***638,DIEBOLD NIXDORF INC,Sell,DBD,-98.0,9.81,USD,961.38,-1.016565038,960.363434962,-,-,1.0
Transaction History,Data,2021-11-08,U***638,DIEBOLD NIXDORF INC,Sell,DBD,-2.0,9.81,USD,19.62,-3.38062E-4,19.619661938,-,-,1.0
Transaction History,Data,2021-11-08,U***638,SLV 31DEC21 25.0 C,Sell,SLV   211231C00025000,-1.0,0.29,USD,29.0,-0.6034979,28.3965021,-,-,100.0
Transaction History,Data,2021-11-08,U***638,WMT 17DEC21 140.0 P,Sell,WMT   211217P00140000,-1.0,1.27,USD,127.0,-1.0139977,125.9860023,-,-,100.0
Transaction History,Data,2021-11-08,U***638,WMT 19NOV21 145.0 P,Sell,WMT   211119P00145000,-1.0,1.33,USD,133.0,-0.7240283,132.2759717,-,-,100.0
Transaction History,Data,2021-11-08,U***638,YAMANA GOLD INC,Buy,AUY,100.0,4.17,USD,-417.0,-1.0,-418.0,-,-,1.0
Transaction History,Data,2021-11-08,U***638,AUY 20JAN23 5.5 C,Sell,AUY   230120C00005500,-1.0,0.4,USD,40.0,-0.723554,39.276446,-,-,100.0
